Contact Energy,Chemotaxis Lambda,Proliferative Probability,Invasive Area,Infiltrative Area,Singles,Fingers,Detached Cells,Clusters
-5,6,0.3,2920,2920,0,0,0,0
-5,6,0.4,3187,3187,0,0,0,0
-5,6,0.4,3545.5,3545.5,0,0,0,0
-5,6,0.4,2184,2184,0,0,0,0
-5,6,0.4,2193,2193,0,1,0,0
-5,6,0.4,2366,2366,0,0,0,0
-5,6,0.4,2310,2310,0,0,0,0
-5,6,0.4,1781,1781,0,0,0,0
-5,6,0.4,2104,2104,0,0,0,0
-5,6,0.4,1982.5,1982.5,0,0,0,0
-5,6,0.4,2961,2961,0,0,0,0
-5,6,0.5,2467,2467,0,0,0,0
-5,6,0.5,2865,2865,0,0,0,0
-5,6,0.5,3535,3535,0,0,0,0
-5,6,0.5,2442,2442,0,1,0,0
-5,6,0.5,2153,2153,0,0,0,0
-5,6,0.5,3506,3506,0,1,0,0
-5,6,0.5,4123,4123,0,0,0,0
-5,6,0.5,1999,1999,0,0,0,0
-5,6,0.5,2368,2368,0,0,0,0
-5,6,0.5,1979,1979,0,0,0,0
-5,6,0.6,1955.5,1955.5,0,0,0,0
-5,6,0.6,1895.5,1895.5,0,0,0,0
-5,6,0.6,1739,1739,0,0,0,0
-5,6,0.6,1797.5,1797.5,0,0,0,0
-5,6,0.6,2476,2476,0,0,0,0
-5,6,0.6,1835,1835,0,0,0,0
-5,6,0.6,2564,2564,0,0,0,0
-5,6,0.6,2893.5,2893.5,0,0,0,0
-5,6,0.6,2465,2465,0,0,0,0
-5,6,0.6,2813,2813,0,0,0,0
-5,6,0.7,2701,2701,0,0,0,0
-5,6,0.7,3419,3419,0,0,0,0
-5,6,0.7,1969,1969,0,0,0,0
-5,6,0.7,2027,2027,0,1,0,0
-5,6,0.7,1833.5,1833.5,0,0,0,0
-5,6,0.7,2709,2709,0,0,0,0
-5,6,0.7,2420.5,2420.5,0,0,0,0
-5,6,0.7,2720,2720,0,1,0,0
-5,6,0.7,2456.5,2456.5,0,0,0,0
-5,6,0.7,1895,1895,0,0,0,0
-5,6,0.8,2414.5,2414.5,0,0,0,0
-5,6,0.8,2277,2277,0,0,0,0
-5,6,0.8,2337,2337,0,0,0,0
-5,6,0.8,2374,2374,0,0,0,0
-5,6,0.8,2379,2379,0,0,0,0
-5,6,0.8,2730,2730,0,0,0,0
-5,6,0.8,2698,2698,0,0,0,0
-5,6,0.8,2071,2071,0,0,0,0
-5,6,0.8,1885.5,1885.5,0,0,0,0
-5,6,0.8,2613.5,2613.5,0,0,0,0
-5,6,0.9,2508.5,2508.5,0,0,0,0
-5,6,0.9,2268,2268,0,0,0,0
-5,6,0.9,2227,2227,0,0,0,0
-5,6,0.9,2801,2801,0,0,0,0
-5,6,0.9,2571,2571,0,0,0,0
-5,6,0.9,2059,2059,0,0,0,0
-5,6,0.9,3369.5,3369.5,0,0,0,0
-5,6,0.9,3090.5,3090.5,0,0,0,0
-5,6,0.9,3359.5,3359.5,0,0,0,0
-5,6,0.9,2403,2403,0,0,0,0
-5,6,1,1885,1885,0,0,0,0
-5,6,1,2653,2653,0,1,0,0
-5,6,1,2427,2427,0,0,0,0
-5,6,1,2200,2200,0,0,0,0
-5,6,1,3058,3058,0,0,0,0
-5,6,1,2498,2498,0,0,0,0
-5,6,1,2411,2411,0,0,0,0
-5,6,1,2701.5,2701.5,0,0,0,0
-5,6,1,2946,2946,0,1,0,0
-5,6,1,2008,2008,0,0,0,0
-5,9,0,2854,2854,0,1,0,0
-5,9,0,2505,2505,0,0,0,0
-5,9,0,2370,2370,0,0,0,0
-5,9,0,2541,2541,0,0,0,0
-5,9,0,3292,3292,0,0,0,0
-5,9,0,2679.5,2679.5,0,0,0,0
-5,9,0,2352.5,2352.5,0,0,0,0
-5,9,0,2050,2050,0,0,0,0
-5,9,0,2904,2904,0,1,0,0
-5,9,0,2800,2800,0,1,0,0
-5,9,0.1,3335.5,3335.5,0,1,0,0
-5,9,0.1,3064,3064,0,0,0,0
-5,9,0.1,3380,3380,0,0,0,0
-5,9,0.1,2201,2201,0,1,0,0
-5,9,0.1,1701,1701,0,0,0,0
-5,9,0.1,1780,1780,0,0,0,0
-5,9,0.1,3070,3070,0,2,0,0
-5,9,0.1,2437,2437,0,0,0,0
-5,9,0.1,1937.5,1937.5,0,0,0,0
-5,9,0.1,1886.5,1886.5,0,0,0,0
-5,9,0.2,2082.5,2082.5,0,0,0,0
-5,9,0.2,1844,1844,0,0,0,0
-5,9,0.2,2082,2082,0,0,0,0
-5,9,0.2,2299,2299,0,0,0,0
-5,9,0.2,2502.5,2502.5,0,0,0,0
-5,9,0.2,1932,1932,0,0,0,0
-5,9,0.2,2559.5,2559.5,0,0,0,0
-5,9,0.2,2652,2652,0,0,0,0
-5,9,0.2,1931,1931,0,0,0,0
-5,9,0.2,1720,1720,0,0,0,0
-5,9,0.3,2027,2027,0,0,0,0
-5,9,0.3,2099.5,2099.5,0,0,0,0
-5,9,0.3,2022,2022,0,0,0,0
-5,9,0.3,2310.5,2310.5,0,0,0,0
-5,9,0.3,2712,2712,0,0,0,0
-5,9,0.3,2110.5,2110.5,0,0,0,0
-5,9,0.3,3007,3007,0,1,0,0
-5,9,0.3,2093.5,2093.5,0,0,0,0
-5,9,0.3,2072.5,2072.5,0,0,0,0
-5,9,0.3,2580,2580,0,0,0,0
-5,9,0.4,2451.5,2451.5,0,0,0,0
-5,9,0.4,2533,2533,0,0,0,0
-5,9,0.4,2035,2035,0,0,0,0
-5,9,0.4,2322,2322,0,0,0,0
-5,9,0.4,2416,2416,0,0,0,0
-5,9,0.4,3009,3009,0,0,0,0
-5,9,0.4,2091,2091,0,0,0,0
-5,9,0.4,1576,1576,0,0,0,0
