MCS,Leader Cells,Follower Cells,Total
784,985,3208,4193
785,985,3208,4193
786,985,3208,4193
787,985,3208,4193
788,985,3208,4193
789,985,3208,4193
790,985,3208,4193
791,985,3208,4193
792,985,3208,4193
793,985,3208,4193
794,985,3208,4193
795,985,3208,4193
796,985,3208,4193
797,985,3208,4193
798,985,3208,4193
799,985,3208,4193
800,985,3208,4193
801,985,3208,4193
802,985,3208,4193
803,985,3208,4193
804,985,3208,4193
805,985,3208,4193
806,985,3208,4193
807,985,3208,4193
808,985,3208,4193
809,985,3208,4193
810,985,3208,4193
811,985,3208,4193
812,985,3208,4193
813,985,3208,4193
814,985,3208,4193
815,985,3208,4193
816,985,3208,4193
817,985,3208,4193
818,985,3208,4193
819,985,3208,4193
820,985,3208,4193
821,985,3208,4193
822,985,3208,4193
823,985,3208,4193
824,985,3208,4193
825,985,3208,4193
826,985,3208,4193
827,985,3208,4193
828,985,3208,4193
829,985,3208,4193
830,985,3208,4193
831,985,3208,4193
832,985,3208,4193
833,985,3208,4193
834,985,3208,4193
835,985,3208,4193
836,985,3208,4193
837,985,3208,4193
838,985,3208,4193
839,985,3208,4193
840,985,3208,4193
841,985,3208,4193
842,985,3208,4193
843,985,3208,4193
844,985,3208,4193
845,985,3208,4193
846,985,3208,4193
847,985,3208,4193
848,985,3208,4193
849,985,3208,4193
850,985,3208,4193
851,985,3208,4193
852,985,3208,4193
853,985,3208,4193
854,985,3208,4193
855,985,3208,4193
856,985,3208,4193
857,985,3208,4193
858,985,3208,4193
859,985,3208,4193
860,985,3208,4193
861,985,3208,4193
862,985,3208,4193
863,985,3208,4193
864,985,3208,4193
865,985,3208,4193
866,985,3208,4193
867,985,3208,4193
868,985,3208,4193
869,985,3208,4193
870,985,3208,4193
871,985,3208,4193
872,985,3208,4193
873,985,3208,4193
874,985,3208,4193
875,985,3208,4193
876,985,3208,4193
877,985,3208,4193
878,985,3208,4193
879,985,3208,4193
880,985,3208,4193
881,985,3208,4193
882,985,3208,4193
883,985,3208,4193
884,985,3208,4193
885,985,3208,4193
886,985,3208,4193
887,985,3208,4193
888,985,3208,4193
889,985,3208,4193
890,985,3208,4193
891,985,3208,4193
892,985,3208,4193
893,985,3208,4193
894,985,3208,4193
895,985,3208,4193
896,985,3208,4193
897,985,3208,4193
898,985,3208,4193
899,985,3208,4193
900,985,3208,4193
901,985,3208,4193
902,985,3208,4193
903,985,3208,4193
904,985,3208,4193
905,985,3208,4193
906,985,3208,4193
907,985,3208,4193
908,985,3208,4193
909,985,3208,4193
910,985,3208,4193
911,985,3208,4193
912,985,3208,4193
913,985,3208,4193
914,985,3208,4193
915,985,3208,4193
916,985,3208,4193
917,985,3208,4193
918,985,3208,4193
919,985,3208,4193
920,985,3208,4193
921,985,3208,4193
922,985,3208,4193
923,985,3208,4193
924,985,3208,4193
925,985,3208,4193
926,985,3208,4193
927,985,3208,4193
928,985,3208,4193
929,985,3208,4193
930,985,3208,4193
931,985,3208,4193
932,985,3208,4193
933,985,3208,4193
934,985,3208,4193
935,985,3208,4193
936,985,3208,4193
937,985,3208,4193
938,985,3208,4193
939,985,3208,4193
940,985,3208,4193
941,985,3208,4193
942,985,3208,4193
943,985,3208,4193
944,985,3208,4193
945,985,3208,4193
946,985,3208,4193
947,985,3208,4193
948,985,3208,4193
949,985,3208,4193
950,985,3208,4193
951,985,3208,4193
952,985,3208,4193
953,985,3208,4193
954,985,3208,4193
955,985,3208,4193
956,985,3208,4193
957,985,3208,4193
958,985,3208,4193
959,985,3208,4193
960,985,3208,4193
961,985,3208,4193
962,985,3208,4193
963,985,3208,4193
964,985,3208,4193
965,985,3208,4193
966,985,3208,4193
967,985,3208,4193
968,985,3208,4193
969,985,3208,4193
970,985,3208,4193
971,985,3208,4193
972,985,3208,4193
973,985,3208,4193
974,985,3208,4193
975,985,3208,4193
976,985,3208,4193
977,985,3208,4193
978,985,3208,4193
979,985,3208,4193
980,985,3208,4193
981,985,3208,4193
982,985,3208,4193
983,985,3208,4193
984,985,3208,4193
985,985,3208,4193
986,985,3208,4193
987,985,3208,4193
988,985,3208,4193
989,985,3208,4193
990,985,3208,4193
991,985,3208,4193
992,985,3208,4193
993,985,3208,4193
994,985,3208,4193
995,985,3208,4193
996,985,3208,4193
997,985,3208,4193
998,985,3208,4193
999,985,3208,4193
1000,985,3208,4193
1001,985,3208,4193
1002,985,3208,4193
1003,985,3208,4193
1004,985,3208,4193
1005,985,3208,4193
1006,984,3208,4192
1007,984,3208,4192
1008,984,3208,4192
1009,984,3208,4192
1010,984,3208,4192
1011,984,3208,4192
1012,984,3208,4192
1013,984,3208,4192
1014,984,3208,4192
1015,984,3208,4192
1016,984,3208,4192
1017,984,3208,4192
1018,984,3208,4192
1019,984,3208,4192
1020,984,3208,4192
1021,984,3208,4192
1022,984,3208,4192
1023,984,3208,4192
1024,984,3208,4192
1025,984,3208,4192
1026,984,3208,4192
1027,984,3208,4192
1028,984,3208,4192
1029,984,3208,4192
1030,984,3208,4192
1031,984,3208,4192
1032,984,3208,4192
1033,984,3208,4192
1034,984,3208,4192
1035,984,3208,4192
1036,984,3208,4192
1037,984,3208,4192
1038,984,3208,4192
1039,984,3208,4192
1040,984,3208,4192
1041,984,3208,4192
1042,984,3208,4192
1043,984,3208,4192
1044,984,3208,4192
1045,984,3208,4192
1046,984,3208,4192
1047,984,3208,4192
1048,984,3208,4192
1049,984,3208,4192
1050,984,3208,4192
1051,984,3208,4192
1052,984,3208,4192
1053,984,3208,4192
1054,984,3208,4192
1055,984,3208,4192
1056,984,3208,4192
1057,984,3208,4192
1058,984,3208,4192
1059,984,3208,4192
1060,984,3208,4192
1061,984,3208,4192
1062,984,3208,4192
1063,984,3208,4192
1064,984,3208,4192
1065,984,3208,4192
1066,984,3208,4192
1067,984,3208,4192
1068,984,3208,4192
1069,984,3208,4192
1070,984,3208,4192
1071,984,3208,4192
1072,984,3208,4192
1073,984,3208,4192
1074,984,3208,4192
1075,984,3208,4192
1076,984,3208,4192
1077,984,3208,4192
1078,984,3208,4192
1079,984,3208,4192
1080,984,3208,4192
1081,984,3208,4192
1082,984,3208,4192
1083,984,3208,4192
1084,984,3208,4192
1085,984,3208,4192
1086,984,3208,4192
1087,984,3208,4192
1088,983,3208,4191
1089,983,3208,4191
1090,983,3208,4191
1091,983,3208,4191
1092,983,3208,4191
1093,983,3208,4191
1094,983,3208,4191
1095,983,3208,4191
1096,983,3208,4191
1097,983,3208,4191
1098,983,3208,4191
1099,983,3208,4191
1100,983,3208,4191
1101,983,3208,4191
1102,983,3208,4191
1103,983,3208,4191
1104,983,3208,4191
1105,983,3208,4191
1106,983,3208,4191
1107,983,3208,4191
1108,983,3208,4191
1109,983,3208,4191
1110,983,3208,4191
1111,983,3208,4191
1112,983,3208,4191
1113,983,3208,4191
1114,983,3208,4191
1115,983,3208,4191
1116,983,3208,4191
1117,983,3208,4191
1118,983,3208,4191
1119,983,3208,4191
1120,983,3208,4191
1121,983,3208,4191
1122,983,3208,4191
1123,983,3208,4191
1124,983,3208,4191
1125,983,3208,4191
1126,983,3208,4191
1127,983,3208,4191
1128,983,3208,4191
1129,983,3208,4191
1130,983,3208,4191
1131,983,3208,4191
1132,983,3208,4191
1133,983,3208,4191
1134,983,3208,4191
1135,983,3208,4191
1136,983,3208,4191
1137,983,3208,4191
1138,983,3208,4191
1139,983,3208,4191
1140,983,3208,4191
1141,983,3208,4191
1142,983,3208,4191
1143,983,3208,4191
1144,983,3208,4191
1145,983,3208,4191
1146,983,3208,4191
1147,983,3208,4191
1148,983,3208,4191
1149,983,3208,4191
1150,983,3208,4191
1151,983,3208,4191
1152,983,3208,4191
1153,983,3208,4191
1154,983,3208,4191
1155,983,3208,4191
1156,983,3208,4191
1157,983,3208,4191
1158,983,3208,4191
1159,983,3208,4191
1160,983,3208,4191
1161,983,3208,4191
1162,983,3208,4191
1163,983,3208,4191
1164,983,3208,4191
1165,983,3208,4191
1166,983,3208,4191
1167,983,3208,4191
1168,983,3208,4191
1169,983,3208,4191
1170,983,3208,4191
1171,983,3208,4191
1172,983,3208,4191
1173,983,3208,4191
1174,983,3208,4191
1175,983,3208,4191
1176,983,3208,4191
1177,983,3208,4191
1178,983,3208,4191
1179,983,3208,4191
1180,983,3208,4191
1181,983,3208,4191
1182,983,3208,4191
1183,983,3208,4191
1184,983,3208,4191
1185,983,3208,4191
1186,983,3208,4191
1187,983,3208,4191
1188,983,3208,4191
1189,983,3208,4191
1190,983,3208,4191
1191,983,3208,4191
1192,983,3208,4191
1193,983,3208,4191
1194,983,3208,4191
1195,983,3208,4191
1196,983,3208,4191
1197,983,3208,4191
1198,983,3208,4191
1199,983,3208,4191
1200,983,3208,4191
1201,983,3208,4191
1202,983,3208,4191
1203,983,3208,4191
1204,983,3208,4191
1205,983,3208,4191
1206,983,3208,4191
1207,983,3208,4191
1208,983,3208,4191
1209,983,3208,4191
1210,983,3208,4191
1211,983,3208,4191
1212,983,3208,4191
1213,983,3208,4191
1214,983,3208,4191
1215,983,3208,4191
1216,983,3208,4191
1217,983,3208,4191
1218,983,3208,4191
1219,983,3208,4191
1220,983,3208,4191
1221,983,3208,4191
1222,983,3208,4191
1223,983,3208,4191
1224,983,3208,4191
1225,983,3208,4191
1226,983,3208,4191
1227,983,3208,4191
1228,983,3208,4191
1229,983,3208,4191
1230,983,3208,4191
1231,983,3208,4191
1232,983,3208,4191
1233,983,3208,4191
1234,983,3208,4191
1235,983,3208,4191
1236,983,3208,4191
1237,983,3208,4191
1238,983,3208,4191
1239,983,3208,4191
1240,983,3208,4191
1241,983,3208,4191
1242,982,3208,4190
1243,982,3208,4190
1244,982,3208,4190
1245,982,3208,4190
1246,982,3208,4190
1247,982,3208,4190
1248,982,3208,4190
1249,982,3208,4190
1250,982,3208,4190
1251,982,3208,4190
1252,982,3208,4190
1253,982,3208,4190
1254,982,3208,4190
1255,982,3208,4190
1256,982,3208,4190
1257,982,3208,4190
1258,982,3208,4190
1259,982,3208,4190
1260,982,3208,4190
1261,982,3208,4190
1262,982,3208,4190
1263,982,3208,4190
1264,982,3208,4190
1265,982,3208,4190
1266,982,3208,4190
1267,981,3208,4189
1268,981,3208,4189
1269,981,3208,4189
1270,981,3208,4189
1271,981,3208,4189
1272,981,3208,4189
1273,981,3208,4189
1274,981,3208,4189
1275,979,3208,4187
1276,978,3208,4186
1277,978,3208,4186
1278,978,3208,4186
1279,978,3208,4186
1280,978,3208,4186
1281,977,3208,4185
1282,976,3208,4184
1283,976,3208,4184
1284,976,3208,4184
1285,976,3208,4184
1286,976,3208,4184
1287,976,3208,4184
1288,975,3208,4183
1289,975,3208,4183
1290,975,3208,4183
1291,975,3208,4183
1292,975,3208,4183
1293,975,3208,4183
1294,975,3208,4183
1295,973,3208,4181
1296,973,3208,4181
1297,973,3208,4181
1298,972,3208,4180
1299,972,3208,4180
1300,972,3208,4180
1301,972,3208,4180
1302,972,3208,4180
1303,972,3208,4180
1304,971,3208,4179
1305,971,3208,4179
1306,971,3208,4179
1307,971,3208,4179
1308,971,3208,4179
1309,971,3208,4179
1310,970,3208,4178
1311,969,3208,4177
1312,969,3208,4177
1313,968,3208,4176
1314,968,3208,4176
1315,968,3208,4176
1316,968,3208,4176
1317,967,3208,4175
1318,967,3208,4175
1319,967,3208,4175
1320,967,3208,4175
1321,967,3208,4175
1322,967,3208,4175
1323,967,3208,4175
1324,967,3208,4175
1325,967,3208,4175
1326,967,3208,4175
1327,967,3208,4175
1328,966,3208,4174
1329,966,3208,4174
1330,966,3208,4174
1331,966,3208,4174
1332,966,3208,4174
1333,966,3208,4174
1334,966,3208,4174
1335,965,3208,4173
1336,964,3208,4172
1337,964,3208,4172
1338,964,3208,4172
1339,964,3208,4172
1340,964,3208,4172
1341,964,3208,4172
1342,963,3208,4171
1343,963,3208,4171
1344,963,3208,4171
1345,963,3208,4171
1346,963,3208,4171
1347,963,3208,4171
1348,963,3208,4171
1349,963,3208,4171
1350,963,3208,4171
1351,963,3208,4171
1352,963,3208,4171
1353,963,3208,4171
1354,963,3208,4171
