Jlf,mu,PP,ClusterUID,ClusterID_renum,Leader Cells,Follower Cells,Total Cells,Leader %,Dominance,Centroid_X,Centroid_Y,PersistenceTime,TimeRange,Centroid_Displacement,Velocity,MeanSize_over_time,StdSize_over_time,ClusterSizeCV_over_time,Phenotypic Index,Entropy
-4.0,30.0,1.0,8_1,11,2,2,4,50.0,Follower-dominated,54.700000000000216,70.95,16,550-700,9.70854660645987,0.6067841629037419,4.0,0.0,0.0,0.0,1.0
-4.0,30.0,1.0,8_2,12,1,1,2,50.0,Follower-dominated,238.46428571428532,62.829365079365076,15,560-700,2.2982494954335073,0.15321663302890048,2.0,0.0,0.0,0.0,1.0
-3.0,21.0,1.0,2_1,1,2,1,3,66.66666666666667,Leader-dominated,323.1527777777778,68.35000000000001,4,670-700,3.8836672605508555,0.9709168151377139,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-3.0,24.0,0.1,0_1,1,2,1,3,66.66666666666667,Leader-dominated,380.6368679050567,76.88770639834881,24,470-700,19.795060793528044,0.8247941997303352,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-3.0,24.0,0.2,1_1,1,1,1,2,50.0,Follower-dominated,163.34999999999943,67.88333333333333,15,460-700,99.03823090380834,6.602548726920556,2.0,0.0,0.0,0.0,1.0
-3.0,24.0,0.2,5_1,2,3,1,4,75.0,Leader-dominated,117.5590659340652,76.07654151404151,3,680-700,2.8505975487090116,0.9501991829030039,4.0,0.0,0.0,0.5,0.8112781244591328
-3.0,24.0,0.3,5_1,1,3,2,5,60.0,Leader-dominated,410.6362254901959,67.47735294117646,1,700-700,0.0,0.0,5.0,,,0.2,0.9709505944546686
-3.0,24.0,0.3,6_1,2,1,1,2,50.0,Follower-dominated,292.55000000000064,67.06666666666666,4,670-700,3.0706308526106816,0.7676577131526704,2.0,0.0,0.0,0.0,1.0
-3.0,24.0,0.4,2_1,1,3,1,4,75.0,Leader-dominated,381.9523923444973,76.70960925039873,6,650-700,6.25548557022834,1.04258092837139,4.0,0.0,0.0,0.5,0.8112781244591328
-3.0,24.0,0.8,2_1,1,2,1,3,66.66666666666667,Leader-dominated,470.8293523469994,73.77789661319072,4,670-700,3.022235112363509,0.7555587780908772,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-3.0,24.0,0.8,5_1,2,3,1,4,75.0,Leader-dominated,217.5964882943144,76.81170568561873,7,640-700,6.880980480299305,0.9829972114713293,4.0,0.0,0.0,0.5,0.8112781244591328
