Contact Energy,Chemotaxis Lambda,Proliferative Probability,Invasive Area_mean,Invasive Area_std,Invasive Area_count,Infiltrative Area_mean,Infiltrative Area_std,Infiltrative Area_count,Singles_mean,Singles_std,Singles_count,Fingers_mean,Fingers_std,Fingers_count,Clusters_mean,Clusters_std,Clusters_count,Invasive Area_sem,Infiltrative Area_sem,Singles_sem,Fingers_sem,Clusters_sem
-5,24,0.1,4687.4,868.3628529851125,10,4687.4,868.3628529851125,10,0.0,0.0,10,4.2,1.0327955589886444,10,0.0,0.0,10,274.60044509149,274.60044509149,0.0,0.3265986323710904,0.0
-5,24,0.2,4313.1,725.3517077942258,10,4313.1,725.3517077942258,10,0.0,0.0,10,4.4,1.2649110640673518,10,0.0,0.0,10,229.37635013226623,229.37635013226623,0.0,0.39999999999999997,0.0
-5,24,0.3,4753.6,1155.9296354978628,10,4753.6,1155.9296354978628,10,0.0,0.0,10,4.0,1.2472191289246473,10,0.0,0.0,10,365.5370463061469,365.5370463061469,0.0,0.39440531887330776,0.0
-5,24,0.4,4331.05,833.8336648010536,10,4331.05,833.8336648010536,10,0.0,0.0,10,3.7,1.0593499054713802,10,0.0,0.0,10,263.68135704967005,263.68135704967005,0.0,0.334995854037363,0.0
-5,24,0.5,4283.1,630.5150363878018,10,4283.1,630.5150363878018,10,0.0,0.0,10,4.3,1.4944341180973264,10,0.0,0.0,10,199.38636139693983,199.38636139693983,0.0,0.47258156262526085,0.0
-5,24,0.6,4444.75,893.5678563427005,10,4444.75,893.5678563427005,10,0.0,0.0,10,3.8,0.9189365834726815,10,0.0,0.0,10,282.5709669957069,282.5709669957069,0.0,0.29059326290271154,0.0
-5,24,0.7,4490.35,816.8860606664257,10,4490.35,816.8860606664257,10,0.0,0.0,10,3.0,1.0540925533894598,10,0.0,0.0,10,258.32205405483893,258.32205405483893,0.0,0.3333333333333333,0.0
-5,24,0.8,4266.6,710.0449046832648,10,4266.6,710.0449046832648,10,0.0,0.0,10,4.4,1.6465452046971292,10,0.0,0.0,10,224.53591397962745,224.53591397962745,0.0,0.5206833117271102,0.0
-5,24,0.9,3977.3,642.6317936596525,10,3977.3,642.6317936596525,10,0.0,0.0,10,4.7,0.4830458915396479,10,0.0,0.0,10,203.21801648038547,203.21801648038547,0.0,0.15275252316519464,0.0
-5,24,1.0,4422.75,631.5414233796897,10,4422.75,631.5414233796897,10,0.0,0.0,10,3.9,1.5238839267549946,10,0.0,0.0,10,199.71093346245328,199.71093346245328,0.0,0.4818944098266986,0.0
-5,27,0.0,5512.95,590.0717682338872,10,5512.95,590.0717682338872,10,0.0,0.0,10,7.2,1.0327955589886444,10,0.0,0.0,10,186.59707705820747,186.59707705820747,0.0,0.3265986323710904,0.0
-5,27,0.1,5130.65,693.2958343224692,10,5158.25,711.0945885667312,10,0.1,0.31622776601683794,10,6.3,1.3374935098492586,10,0.0,0.0,10,219.23939287657421,224.8678531691199,0.09999999999999999,0.42295258468165065,0.0
-5,27,0.2,5230.25,920.4130488837908,10,5248.65,946.5208822606903,10,0.1,0.31622776601683794,10,7.1,1.7919573407620815,10,0.0,0.0,10,291.0601622612678,299.31618408558455,0.09999999999999999,0.5666666666666665,0.0
-5,27,0.3,5020.9,875.8133299333192,10,5020.9,875.8133299333192,10,0.0,0.0,10,7.3,1.2516655570345725,10,0.0,0.0,10,276.9564927725813,276.9564927725813,0.0,0.3958114029012639,0.0
-5,27,0.4,4734.55,463.72258529331003,10,4734.55,463.72258529331003,10,0.0,0.0,10,6.5,1.957890020745122,10,0.0,0.0,10,146.641957198856,146.641957198856,0.0,0.6191391873668903,0.0
-5,27,0.5,5598.0,553.758671865883,10,5610.4,554.4856876221223,10,0.1,0.31622776601683794,10,7.1,1.5951314818673865,10,0.1,0.31622776601683794,10,175.11386771659937,175.34377028505398,0.09999999999999999,0.5044248650140518,0.09999999999999999
-5,27,0.6,4686.0,674.1118436711952,10,4753.8,682.8942166332287,10,0.1,0.31622776601683794,10,6.5,1.0801234497346435,10,0.0,0.0,10,213.17288236963392,215.95011255174447,0.09999999999999999,0.34156502553198664,0.0
-5,27,0.7,4949.45,830.2750364253468,10,4954.95,823.4407976425641,10,0.1,0.31622776601683794,10,5.8,1.2292725943057183,10,0.0,0.0,10,262.55601994833614,260.39484388563113,0.09999999999999999,0.38873012632302,0.0
-5,27,0.8,4702.75,842.1247350864625,10,4702.75,842.1247350864625,10,0.0,0.0,10,5.8,0.9189365834726815,10,0.0,0.0,10,266.3032236839135,266.3032236839135,0.0,0.29059326290271154,0.0
-5,27,0.9,5057.15,786.3184981644242,10,5057.15,786.3184981644242,10,0.0,0.0,10,5.5,1.2692955176439846,10,0.0,0.0,10,248.65574205225093,248.65574205225093,0.0,0.40138648595974313,0.0
-5,27,1.0,5031.8,532.7353001256816,10,5031.8,532.7353001256816,10,0.0,0.0,10,5.9,1.286683937707919,10,0.0,0.0,10,168.46569383705398,168.46569383705398,0.0,0.40688518719112343,0.0
-5,30,0.0,6643.1,802.5412346623276,10,6759.7,896.690030674542,10,0.5,0.5270462766947299,10,9.3,1.4944341180973264,10,0.2,0.4216370213557839,10,253.78582177366275,283.55828520978025,0.16666666666666666,0.47258156262526085,0.13333333333333333
-5,30,0.1,6509.05,586.8470106330003,10,6630.05,610.4934911837944,10,0.4,0.5163977794943222,10,9.7,1.1595018087284057,10,0.1,0.31622776601683794,10,185.5773191661332,193.05499288487144,0.1632993161855452,0.36666666666666664,0.09999999999999999
-5,30,0.2,6725.1,758.9261345992624,10,6807.1,781.4384812638805,10,0.5,0.7071067811865476,10,7.9,1.3703203194062976,10,0.3,0.48304589153964794,10,239.99351611611877,247.1125452096676,0.22360679774997896,0.4333333333333333,0.15275252316519466
-5,30,0.3,6713.5,1127.6389296027144,10,6743.3,1124.5320310639838,10,0.1,0.31622776601683794,10,9.0,1.6329931618554518,10,0.2,0.42163702135578396,10,356.59073958188475,355.608251997741,0.09999999999999999,0.5163977794943222,0.13333333333333333
-5,30,0.4,6571.75,859.6350081413752,10,6614.15,884.7249117349667,10,0.2,0.4216370213557839,10,8.7,1.7669811040931427,10,0.1,0.31622776601683794,10,271.8404582144134,279.7745823773926,0.13333333333333333,0.5587684871413402,0.09999999999999999
-5,30,0.5,6065.95,500.31076176046156,10,6167.75,522.9042960024117,10,0.5,0.5270462766947299,10,8.2,1.3984117975602022,10,0.2,0.4216370213557839,10,158.21215450569318,165.35685736545,0.16666666666666666,0.4422166387140533,0.13333333333333333
-5,30,0.6,6095.4,674.2457843974835,10,6224.2,632.374414409691,10,0.5,0.7071067811865476,10,8.3,1.4181364924121764,10,0.2,0.4216370213557839,10,213.21523814628674,199.97434835498265,0.22360679774997896,0.44845413490245695,0.13333333333333333
-5,30,0.7,6199.7,852.3922610316607,10,6276.2,823.1312572528556,10,0.2,0.4216370213557839,10,8.6,0.8432740427115685,10,0.3,0.6749485577105528,10,269.55010047608346,260.2969586197016,0.13333333333333333,0.26666666666666683,0.21343747458109494
-5,30,0.8,5920.5,1005.7686391787902,10,6017.05,1092.2849000044712,10,0.4,0.5163977794943222,10,7.9,1.286683937707919,10,0.1,0.31622776601683794,10,318.05196989730393,345.4108137823391,0.1632993161855452,0.40688518719112343,0.09999999999999999
-5,30,0.9,5948.5,895.951294559153,10,5989.3,924.2212998579457,10,0.2,0.4216370213557839,10,8.1,0.9944289260117535,10,0.4,0.5163977794943222,10,283.3246763383349,292.2644369592563,0.13333333333333333,0.3144660377352202,0.1632993161855452
-5,30,1.0,5695.8,749.0588984407922,10,5806.4,740.1610860706833,10,0.4,0.6992058987801011,10,8.4,1.429840705968481,10,0.5,0.7071067811865476,10,236.8732220689652,234.05948674072866,0.22110831935702666,0.45215533220835114,0.22360679774997896
-4,0,0.0,2710.0,473.6228574626767,10,2710.0,473.6228574626767,10,0.0,0.0,10,0.1,0.31622776601683794,10,0.0,0.0,10,149.7726981499335,149.7726981499335,0.0,0.09999999999999999,0.0
-4,0,0.1,2624.75,507.3681684273594,10,2624.75,507.3681684273594,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,160.44390244983862,160.44390244983862,0.0,0.0,0.0
